workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_optimizer_group_hypergradient,value_gradient,fixed_full_batch,numpy_oracle,cpu,pass,6,3,4,4,16,4.167037332081236e-05,validation_mse,0.12799038742840868,0.0,independent NumPy post-SGD group trajectory with central-FD products,3.14.6,2.5.1,78fff8c4d0f4b433e01014124636f3ef12288e84,e4f7be3e0e4f90c3a2f2e8282151617c582f2f73,gfortran,-O3,"packed=[log_lr,log_l2,log_multiplier_1,log_multiplier_2]"
mlp_optimizer_group_hypergradient,gradient_component,fixed_full_batch,numpy_oracle,cpu,pass,6,3,4,4,16,,gradient_1,-0.06623275449618715,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,78fff8c4d0f4b433e01014124636f3ef12288e84,e4f7be3e0e4f90c3a2f2e8282151617c582f2f73,gfortran,-O3,all group coordinates checked
mlp_optimizer_group_hypergradient,gradient_component,fixed_full_batch,numpy_oracle,cpu,pass,6,3,4,4,16,,gradient_2,0.0006660815579651036,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,78fff8c4d0f4b433e01014124636f3ef12288e84,e4f7be3e0e4f90c3a2f2e8282151617c582f2f73,gfortran,-O3,all group coordinates checked
mlp_optimizer_group_hypergradient,gradient_component,fixed_full_batch,numpy_oracle,cpu,pass,6,3,4,4,16,,gradient_3,-0.06180163270030903,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,78fff8c4d0f4b433e01014124636f3ef12288e84,e4f7be3e0e4f90c3a2f2e8282151617c582f2f73,gfortran,-O3,all group coordinates checked
mlp_optimizer_group_hypergradient,gradient_component,fixed_full_batch,numpy_oracle,cpu,pass,6,3,4,4,16,,gradient_4,-0.004431121809755911,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,78fff8c4d0f4b433e01014124636f3ef12288e84,e4f7be3e0e4f90c3a2f2e8282151617c582f2f73,gfortran,-O3,all group coordinates checked
mlp_optimizer_group_hypergradient,jvp,fixed_full_batch,numpy_oracle,cpu,pass,6,3,4,4,16,,directional_validation_mse_derivative,-0.022893556245184854,0.0,independent central-FD directional product,3.14.6,2.5.1,78fff8c4d0f4b433e01014124636f3ef12288e84,e4f7be3e0e4f90c3a2f2e8282151617c582f2f73,gfortran,-O3,"direction=[0.23, -0.17, 0.13, -0.11]; h=2e-06"
mlp_optimizer_group_hypergradient,hvp_refusal,fixed_full_batch,numpy_oracle,cpu,not_applicable,6,3,4,4,16,,status_code,nan,nan,public typed third-derivative boundary,3.14.6,2.5.1,78fff8c4d0f4b433e01014124636f3ef12288e84,e4f7be3e0e4f90c3a2f2e8282151617c582f2f73,gfortran,-O3,NumPy oracle does not emulate unsupported third network derivatives
mlp_optimizer_group_hypergradient,value_gradient,fixed_full_batch,fortml,cpu,pass,6,3,4,4,16,4.33604375e-05,validation_mse,0.12799038742840868,1.529963807554713e-11,independent NumPy group trajectory and central-FD products,3.14.6,2.5.1,78fff8c4d0f4b433e01014124636f3ef12288e84,e4f7be3e0e4f90c3a2f2e8282151617c582f2f73,gfortran,-O3,fortml_bench_mlp_optimizer_group_hypergradient; four gradients and JVP checked
mlp_optimizer_group_hypergradient,gradient_component,fixed_full_batch,fortml,cpu,pass,6,3,4,4,16,,gradient_1,-0.0662327545014113,5.224154442373674e-12,independent NumPy group trajectory and central-FD products,3.14.6,2.5.1,78fff8c4d0f4b433e01014124636f3ef12288e84,e4f7be3e0e4f90c3a2f2e8282151617c582f2f73,gfortran,-O3,fortml_bench_mlp_optimizer_group_hypergradient
mlp_optimizer_group_hypergradient,gradient_component,fixed_full_batch,fortml,cpu,pass,6,3,4,4,16,,gradient_2,0.0006660815426654655,1.529963807554713e-11,independent NumPy group trajectory and central-FD products,3.14.6,2.5.1,78fff8c4d0f4b433e01014124636f3ef12288e84,e4f7be3e0e4f90c3a2f2e8282151617c582f2f73,gfortran,-O3,fortml_bench_mlp_optimizer_group_hypergradient
mlp_optimizer_group_hypergradient,gradient_component,fixed_full_batch,fortml,cpu,pass,6,3,4,4,16,,gradient_3,-0.06180163269505047,5.258557478349246e-12,independent NumPy group trajectory and central-FD products,3.14.6,2.5.1,78fff8c4d0f4b433e01014124636f3ef12288e84,e4f7be3e0e4f90c3a2f2e8282151617c582f2f73,gfortran,-O3,fortml_bench_mlp_optimizer_group_hypergradient
mlp_optimizer_group_hypergradient,gradient_component,fixed_full_batch,fortml,cpu,pass,6,3,4,4,16,,gradient_4,-0.004431121806360829,3.3950819586237024e-12,independent NumPy group trajectory and central-FD products,3.14.6,2.5.1,78fff8c4d0f4b433e01014124636f3ef12288e84,e4f7be3e0e4f90c3a2f2e8282151617c582f2f73,gfortran,-O3,fortml_bench_mlp_optimizer_group_hypergradient
