workload,phase,backend,device,status,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_constant_schedule_hvp,value_gradient,fortml,cpu,pass,8,64,0.000176540984375,validation_mse,0.03004844629298595,2.269308702236572e-08,independent NumPy affine recurrence with central-FD HVP,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,complete-array oracle accepted
mlp_constant_schedule_hvp,jvp,fortml,cpu,pass,8,64,0.000176540984375,directional_validation_mse_derivative,-0.017487303901783532,2.269308702236572e-08,independent NumPy affine recurrence with central-FD HVP,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,complete-array oracle accepted
mlp_constant_schedule_hvp,gradient_component,fortml,cpu,pass,8,64,0.000176540984375,gradient_parameter_1,-0.055314701742862966,2.269308702236572e-08,independent NumPy affine recurrence with central-FD HVP,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,complete-array oracle accepted
mlp_constant_schedule_hvp,gradient_component,fortml,cpu,pass,8,64,0.000176540984375,gradient_parameter_2,0.001258319857392643,2.269308702236572e-08,independent NumPy affine recurrence with central-FD HVP,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,complete-array oracle accepted
mlp_constant_schedule_hvp,gradient_component,fortml,cpu,pass,8,64,0.000176540984375,gradient_parameter_3,0.0,2.269308702236572e-08,independent NumPy affine recurrence with central-FD HVP,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,complete-array oracle accepted
mlp_constant_schedule_hvp,gradient_component,fortml,cpu,pass,8,64,0.000176540984375,gradient_parameter_4,0.0,2.269308702236572e-08,independent NumPy affine recurrence with central-FD HVP,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,complete-array oracle accepted
mlp_constant_schedule_hvp,hvp_component,fortml,cpu,pass,8,64,0.000984292703125,hvp_parameter_1,0.013528777782639109,2.269308702236572e-08,independent NumPy affine recurrence with central-FD HVP,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,complete-array oracle accepted
mlp_constant_schedule_hvp,hvp_component,fortml,cpu,pass,8,64,0.000984292703125,hvp_parameter_2,-0.0002568967482826887,2.269308702236572e-08,independent NumPy affine recurrence with central-FD HVP,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,complete-array oracle accepted
mlp_constant_schedule_hvp,hvp_component,fortml,cpu,pass,8,64,0.000984292703125,hvp_parameter_3,0.0,2.269308702236572e-08,independent NumPy affine recurrence with central-FD HVP,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,complete-array oracle accepted
mlp_constant_schedule_hvp,hvp_component,fortml,cpu,pass,8,64,0.000984292703125,hvp_parameter_4,0.0,2.269308702236572e-08,independent NumPy affine recurrence with central-FD HVP,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,complete-array oracle accepted
mlp_constant_schedule_hvp,hvp,fortml,cuda,unavailable,8,64,,,,,independent NumPy affine recurrence with central-FD HVP,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,resident CUDA trajectory kernel is not linked; no host fallback
mlp_constant_schedule_hvp,hvp,fortml,cpu,unavailable,8,64,,,,,independent NumPy affine recurrence with central-FD HVP,3.14.6,2.5.1,85cadc34ce47d8c7f1c0d757c84b8fe0523decb1,500b9a5e78ca110835fb42643cb793577359a710,gfortran,-O3,nonconstant schedule and nonlinear MLPs retain typed HVP refusal
