workload,phase,backend,device,status,n_samples,n_queries,n_features,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
derivative_gp_local_periodic,likelihood,numpy_oracle,cpu,pass,5,3,2,,value,-11.080875172443138,0.0,independent NumPy dense Cholesky mixed-observation oracle,3.14.6,2.5.1,67c9782bbebfd55d9c8b8eed5f3c66b3e682c8e5,230d7a4d487a511518a2142bd5c7717e1925c03f,gfortran,-O3,
derivative_gp_local_periodic,parameter_products,numpy_oracle,cpu,pass,5,3,2,,gradient_norm,4.40709163664901,0.0,independent NumPy central difference of dense likelihood,3.14.6,2.5.1,67c9782bbebfd55d9c8b8eed5f3c66b3e682c8e5,230d7a4d487a511518a2142bd5c7717e1925c03f,gfortran,-O3,
derivative_gp_local_periodic,parameter_products,numpy_oracle,cpu,pass,5,3,2,,directional_jvp,0.016092183235283386,0.0,independent NumPy central difference over packed log parameters,3.14.6,2.5.1,67c9782bbebfd55d9c8b8eed5f3c66b3e682c8e5,230d7a4d487a511518a2142bd5c7717e1925c03f,gfortran,-O3,
derivative_gp_local_periodic,prediction,numpy_oracle,cpu,pass,5,3,2,,minimum_posterior_variance,1.218188755371994,0.0,independent NumPy dense Cholesky Schur complement,3.14.6,2.5.1,67c9782bbebfd55d9c8b8eed5f3c66b3e682c8e5,230d7a4d487a511518a2142bd5c7717e1925c03f,gfortran,-O3,
derivative_gp_local_periodic,prediction,numpy_oracle,cpu,pass,5,3,2,,mean_norm,0.22099098335240877,0.0,independent NumPy mixed-observation posterior,3.14.6,2.5.1,67c9782bbebfd55d9c8b8eed5f3c66b3e682c8e5,230d7a4d487a511518a2142bd5c7717e1925c03f,gfortran,-O3,
derivative_gp_local_periodic,query_products,numpy_oracle,cpu,pass,5,3,2,,mean_jvp_norm,3.0434509141889436,0.0,independent NumPy central difference of query posterior means,3.14.6,2.5.1,67c9782bbebfd55d9c8b8eed5f3c66b3e682c8e5,230d7a4d487a511518a2142bd5c7717e1925c03f,gfortran,-O3,
derivative_gp_local_periodic,query_products,numpy_oracle,cpu,pass,5,3,2,,variance_jvp_norm,0.28648844351263947,0.0,independent NumPy central difference of query posterior variances,3.14.6,2.5.1,67c9782bbebfd55d9c8b8eed5f3c66b3e682c8e5,230d7a4d487a511518a2142bd5c7717e1925c03f,gfortran,-O3,
derivative_gp_local_periodic,query_products,numpy_oracle,cpu,pass,5,3,2,,jvp_max_abs,3.043358305035437,0.0,independent NumPy query-input directional finite difference,3.14.6,2.5.1,67c9782bbebfd55d9c8b8eed5f3c66b3e682c8e5,230d7a4d487a511518a2142bd5c7717e1925c03f,gfortran,-O3,
derivative_gp_local_periodic,public_contract_gate,fortml,cpu,pass,5,3,2,6.1414425920229405,fortml_derivative_gp_local_periodic_test,1.0,0.0,FortML independent analytic/finite-difference behavioral gate,3.14.6,2.5.1,67c9782bbebfd55d9c8b8eed5f3c66b3e682c8e5,230d7a4d487a511518a2142bd5c7717e1925c03f,gfortran,-O3,analytic mixed-observation parameter and query-input JVP
derivative_gp_local_periodic,device_boundary,fortml,cuda,refused,5,3,2,,typed_cuda_derivative_gp,nan,0.0,typed FORTNUM_DOMAIN_ERROR refusal,3.14.6,2.5.1,67c9782bbebfd55d9c8b8eed5f3c66b3e682c8e5,230d7a4d487a511518a2142bd5c7717e1925c03f,gfortran,-O3,resident derivative-GP covariance/factorization graph is not linked
