backend,device,residency,n_samples,n_features,rhs,repetitions,dtype,seconds_per_operation,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,compiler_version,native_cuda_kernel
fortml_openacc,cpu,transfer,2048,8,1,3,float64,  3.2316813333333333E-03,pass,0b42a76b2b0ebc42cc17c0268350f7a58050d7f8,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum_for_each_RHS,gfortran,-O3 -fopenmp,GNU Fortran (GCC) 16.1.1 20260728,0
fortml_openacc,cpu,resident,2048,8,1,3,float64,  3.1977006666666663E-03,pass,0b42a76b2b0ebc42cc17c0268350f7a58050d7f8,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum_for_each_RHS,gfortran,-O3 -fopenmp,GNU Fortran (GCC) 16.1.1 20260728,0
fortml_openacc,cpu,transfer,2048,8,2,3,float64,  3.9114386666666669E-03,pass,0b42a76b2b0ebc42cc17c0268350f7a58050d7f8,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum_for_each_RHS,gfortran,-O3 -fopenmp,GNU Fortran (GCC) 16.1.1 20260728,0
fortml_openacc,cpu,resident,2048,8,2,3,float64,  3.5081320000000002E-03,pass,0b42a76b2b0ebc42cc17c0268350f7a58050d7f8,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum_for_each_RHS,gfortran,-O3 -fopenmp,GNU Fortran (GCC) 16.1.1 20260728,0
fortml_openacc,cpu,transfer,2048,8,4,3,float64,  7.2369399999999999E-03,pass,0b42a76b2b0ebc42cc17c0268350f7a58050d7f8,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum_for_each_RHS,gfortran,-O3 -fopenmp,GNU Fortran (GCC) 16.1.1 20260728,0
fortml_openacc,cpu,resident,2048,8,4,3,float64,  9.6839826666666670E-03,pass,0b42a76b2b0ebc42cc17c0268350f7a58050d7f8,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum_for_each_RHS,gfortran,-O3 -fopenmp,GNU Fortran (GCC) 16.1.1 20260728,0
fortml_openacc,cpu,transfer,2048,8,8,3,float64,  1.4423187666666665E-02,pass,0b42a76b2b0ebc42cc17c0268350f7a58050d7f8,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum_for_each_RHS,gfortran,-O3 -fopenmp,GNU Fortran (GCC) 16.1.1 20260728,0
fortml_openacc,cpu,resident,2048,8,8,3,float64,  2.1717538666666664E-02,pass,0b42a76b2b0ebc42cc17c0268350f7a58050d7f8,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum_for_each_RHS,gfortran,-O3 -fopenmp,GNU Fortran (GCC) 16.1.1 20260728,0
fortml_openacc,cuda,transfer,2048,8,1,3,float64,  9.4993333333333329E-04,pass,0b42a76b2b0ebc42cc17c0268350f7a58050d7f8,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum_for_each_RHS,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,0
fortml_openacc,cuda,resident,2048,8,1,3,float64,  9.2703333333333333E-04,pass,0b42a76b2b0ebc42cc17c0268350f7a58050d7f8,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum_for_each_RHS,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,0
fortml_openacc,cuda,transfer,2048,8,2,3,float64,  1.8923000000000002E-03,pass,0b42a76b2b0ebc42cc17c0268350f7a58050d7f8,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum_for_each_RHS,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,0
fortml_openacc,cuda,resident,2048,8,2,3,float64,  1.8230000000000000E-03,pass,0b42a76b2b0ebc42cc17c0268350f7a58050d7f8,5fba327a2b49e105104e97271d4d9c6effac11aa,direct_RBF_pairwise_sum_for_each_RHS,nvfortran,-O3 -acc,nvfortran 26.5-0 64-bit target on x86-64 Linux -tp znver3 ,0
