workload,phase,backend,device,status,n_samples,n_outputs,n_queries,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
derivative_gp_fit_products,prediction,numpy_oracle,cpu,pass,4,2,3,0.0,mean_norm,1.2654019128928644,0.0,independent NumPy RBF dense refit finite-difference oracle,3.14.6,2.5.1,94378bbdc43183c5813467699847b6b3d171af2f,e247ca94feaf2f816e2d0543846cfd6ba8d07c22+dirty,gfortran,-O3,
derivative_gp_fit_products,prediction,numpy_oracle,cpu,pass,4,2,3,0.0,variance_min,0.11299395073058482,0.0,independent NumPy RBF dense refit finite-difference oracle,3.14.6,2.5.1,94378bbdc43183c5813467699847b6b3d171af2f,e247ca94feaf2f816e2d0543846cfd6ba8d07c22+dirty,gfortran,-O3,
derivative_gp_fit_products,observation_jvp,numpy_oracle,cpu,pass,4,2,3,0.0,jvp_norm,0.1798825750088313,0.0,independent NumPy RBF dense refit finite-difference oracle,3.14.6,2.5.1,94378bbdc43183c5813467699847b6b3d171af2f,e247ca94feaf2f816e2d0543846cfd6ba8d07c22+dirty,gfortran,-O3,
derivative_gp_fit_products,observation_jvp,numpy_oracle,cpu,pass,4,2,3,0.0,finite_difference_max_abs_error,0.0,0.0,independent NumPy RBF dense refit finite-difference oracle,3.14.6,2.5.1,94378bbdc43183c5813467699847b6b3d171af2f,e247ca94feaf2f816e2d0543846cfd6ba8d07c22+dirty,gfortran,-O3,
derivative_gp_fit_products,observation_jvp,numpy_oracle,cpu,pass,4,2,3,0.0,variance_tangent_fd_max_abs_error,0.0,0.0,independent NumPy RBF dense refit finite-difference oracle,3.14.6,2.5.1,94378bbdc43183c5813467699847b6b3d171af2f,e247ca94feaf2f816e2d0543846cfd6ba8d07c22+dirty,gfortran,-O3,
derivative_gp_fit_products,observation_vjp,numpy_oracle,cpu,pass,4,2,3,0.0,adjoint_abs_error,2.8671544305414187e-12,0.0,independent NumPy RBF dense refit finite-difference oracle,3.14.6,2.5.1,94378bbdc43183c5813467699847b6b3d171af2f,e247ca94feaf2f816e2d0543846cfd6ba8d07c22+dirty,gfortran,-O3,
derivative_gp_fit_products,observation_vjp,numpy_oracle,cpu,pass,4,2,3,0.0,refit_scalar_abs_error,3.3806360488775056e-12,0.0,independent NumPy RBF dense refit finite-difference oracle,3.14.6,2.5.1,94378bbdc43183c5813467699847b6b3d171af2f,e247ca94feaf2f816e2d0543846cfd6ba8d07c22+dirty,gfortran,-O3,
derivative_gp_fit_products,observation_vjp,numpy_oracle,cpu,pass,4,2,3,0.0,observation_bar_norm,0.29382907956725496,0.0,independent NumPy RBF dense refit finite-difference oracle,3.14.6,2.5.1,94378bbdc43183c5813467699847b6b3d171af2f,e247ca94feaf2f816e2d0543846cfd6ba8d07c22+dirty,gfortran,-O3,
derivative_gp_fit_products,public_contract_gate,fortml,cpu,pass,4,2,3,4.961126711044926,fortml_derivative_gp_fit_products_test,1.0,0.0,FortML independent analytic/finite-difference behavioral gate,3.14.6,2.5.1,94378bbdc43183c5813467699847b6b3d171af2f,e247ca94feaf2f816e2d0543846cfd6ba8d07c22+dirty,gfortran,-O3,analytic observation JVP/VJP through fitted solve
derivative_gp_fit_products,device_boundary,fortml,cuda,refused,4,2,3,0.0,typed_cuda_observation_products,nan,0.0,typed FORTNUM_NOT_IMPLEMENTED refusal,3.14.6,2.5.1,94378bbdc43183c5813467699847b6b3d171af2f,e247ca94feaf2f816e2d0543846cfd6ba8d07c22+dirty,gfortran,-O3,resident derivative-GP solve graph is not linked
