workload,backend,device,residency,n_samples,n_features,dtype,threads,repetitions,setup_seconds,seconds_per_mvm,relative_error,status,fortml_commit,fortnum_commit,correctness_oracle,compiler,flags,torch_version,gpytorch_version,pykeops_version,cuda_device
rbf_plus_constant,fortml_composite,cpu,cpu,256,8,float64,16,5,,  3.0559999999999999E-05,0.0,pass,5ff3d80e67fe8988ed7330b7288c6ba76e169ade,c5bea470d07b3d8c5449e213c33816c7dbc0ad32,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -mp=multicore,,,,
rbf_plus_constant,pytorch_dense,cpu,resident,256,8,float64,16,5,0.002172323002014309,0.0010248750040773302,1.037664777877665e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,keops,cpu,resident,256,8,float64,16,5,0.09891694999532774,0.000852209801087156,1.4823782541109502e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,gpytorch_keops,cpu,resident,256,8,float64,16,5,0.1560807980131358,0.0011610655987169594,9.388257476422372e-09,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,fortml_composite,cuda,transfer,256,8,float64,unknown,5,,  9.5539999999999997E-05,0.0,pass,5ff3d80e67fe8988ed7330b7288c6ba76e169ade,c5bea470d07b3d8c5449e213c33816c7dbc0ad32,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -acc,,,,
rbf_plus_constant,fortml_composite,cuda,resident,256,8,float64,unknown,5,,  7.2000000000000002E-05,0.0,pass,5ff3d80e67fe8988ed7330b7288c6ba76e169ade,c5bea470d07b3d8c5449e213c33816c7dbc0ad32,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -acc,,,,
rbf_plus_constant,pytorch_dense,cuda,resident,256,8,float64,1,5,0.09999981001601554,0.0001376394007820636,4.447134762332851e-16,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,pytorch_dense,cuda,transfer,256,8,float64,1,5,0.0006241259980015457,0.00015444300370290876,4.447134762332851e-16,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,keops,cuda,resident,256,8,float64,1,5,0.003468715993221849,0.0008772530010901392,1.4823782541109502e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,keops,cuda,transfer,256,8,float64,1,5,0.0010173570190090686,0.0009080167976208032,1.4823782541109502e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,gpytorch_keops,cuda,resident,256,8,float64,1,5,0.17896250099875033,0.0012882553972303867,9.38825769877911e-09,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,gpytorch_keops,cuda,transfer,256,8,float64,1,5,0.0012926860072184354,0.00159073940012604,9.38825769877911e-09,pass,,,,,,2.13.0+cu130,1.15.2,2.3,NVIDIA GeForce RTX 5060 Ti
rbf_plus_constant,fortml_composite,cpu,cpu,512,8,float64,16,5,,  1.0755999999999999E-04,0.0,pass,5ff3d80e67fe8988ed7330b7288c6ba76e169ade,c5bea470d07b3d8c5449e213c33816c7dbc0ad32,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -mp=multicore,,,,
rbf_plus_constant,pytorch_dense,cpu,resident,512,8,float64,16,5,0.006201555021107197,0.003975739196175709,8.865614347131504e-16,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,keops,cpu,resident,512,8,float64,16,5,0.10010816299472935,0.0014385905989911408,1.177464405478403e-15,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,gpytorch_keops,cpu,resident,512,8,float64,16,5,0.15590886297286488,0.001475241599837318,8.742397767121395e-09,pass,,,,,,2.13.0+cu130,1.15.2,2.3,cpu
rbf_plus_constant,fortml_composite,cuda,transfer,512,8,float64,unknown,5,,  1.3339999999999999E-04,0.0,pass,5ff3d80e67fe8988ed7330b7288c6ba76e169ade,c5bea470d07b3d8c5449e213c33816c7dbc0ad32,direct_RBF_plus_constant_pairwise_sum,nvfortran,-O3 -acc,,,,
