workload,phase,backend,device,status,n_samples,n_classes,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
gp_ordinal_likelihood,independent_oracle,numpy,cpu,pass,5,3,100000,,logistic_value,-5.003477779364477,0.0,independent NumPy ordered likelihood formulas,3.14.6,2.5.1,93da9b549fee98aad5af977e486cd64b16507a40,25515c70397a10554b0ee70e8cde54e1a12b46e5,gfortran,-O3,
gp_ordinal_likelihood,independent_oracle,numpy,cpu,pass,5,3,100000,,logistic_value_dot,-0.08199431300449553,0.0,independent NumPy ordered likelihood formulas,3.14.6,2.5.1,93da9b549fee98aad5af977e486cd64b16507a40,25515c70397a10554b0ee70e8cde54e1a12b46e5,gfortran,-O3,
gp_ordinal_likelihood,independent_oracle,numpy,cpu,pass,5,3,100000,,logistic_eta_bar_norm,2.6135519234330817,0.0,independent NumPy ordered likelihood formulas,3.14.6,2.5.1,93da9b549fee98aad5af977e486cd64b16507a40,25515c70397a10554b0ee70e8cde54e1a12b46e5,gfortran,-O3,
gp_ordinal_likelihood,independent_oracle,numpy,cpu,pass,5,3,100000,,logistic_hvp_norm,0.41772562372465905,0.0,independent NumPy ordered likelihood formulas,3.14.6,2.5.1,93da9b549fee98aad5af977e486cd64b16507a40,25515c70397a10554b0ee70e8cde54e1a12b46e5,gfortran,-O3,
gp_ordinal_likelihood,independent_oracle,numpy,cpu,pass,5,3,100000,,probit_value,-4.6723782360442385,0.0,independent NumPy ordered likelihood formulas,3.14.6,2.5.1,93da9b549fee98aad5af977e486cd64b16507a40,25515c70397a10554b0ee70e8cde54e1a12b46e5,gfortran,-O3,
gp_ordinal_likelihood,independent_oracle,numpy,cpu,pass,5,3,100000,,probit_value_dot,-0.0032035847801115645,0.0,independent NumPy ordered likelihood formulas,3.14.6,2.5.1,93da9b549fee98aad5af977e486cd64b16507a40,25515c70397a10554b0ee70e8cde54e1a12b46e5,gfortran,-O3,
gp_ordinal_likelihood,independent_oracle,numpy,cpu,pass,5,3,100000,,probit_eta_bar_norm,3.516165535758075,0.0,independent NumPy ordered likelihood formulas,3.14.6,2.5.1,93da9b549fee98aad5af977e486cd64b16507a40,25515c70397a10554b0ee70e8cde54e1a12b46e5,gfortran,-O3,
gp_ordinal_likelihood,independent_oracle,numpy,cpu,pass,5,3,100000,,probit_hvp_norm,0.6919271684663008,0.0,independent NumPy ordered likelihood formulas,3.14.6,2.5.1,93da9b549fee98aad5af977e486cd64b16507a40,25515c70397a10554b0ee70e8cde54e1a12b46e5,gfortran,-O3,
gp_ordinal_likelihood,behavioral_gate,fortml,cpu,pass,5,3,100000,,tests_passed,1.0,0.0,independent Fortran value/JVP/VJP/HVP oracle,3.14.6,2.5.1,93da9b549fee98aad5af977e486cd64b16507a40,25515c70397a10554b0ee70e8cde54e1a12b46e5,gfortran,-O3,both ordered-logit and ordered-probit paths
gp_ordinal_likelihood,release_app,,cpu,pass,5,3,100000,1.6e-07,logistic_value,-5.003477779364477,0.0,independent NumPy ordered likelihood products,3.14.6,2.5.1,93da9b549fee98aad5af977e486cd64b16507a40,25515c70397a10554b0ee70e8cde54e1a12b46e5,gfortran,-O3,
gp_ordinal_likelihood,release_app,,cpu,pass,5,3,100000,2.4e-07,logistic_jvp,-0.08199431300449553,0.0,independent NumPy ordered likelihood products,3.14.6,2.5.1,93da9b549fee98aad5af977e486cd64b16507a40,25515c70397a10554b0ee70e8cde54e1a12b46e5,gfortran,-O3,
gp_ordinal_likelihood,release_app,,cpu,pass,5,3,100000,2.3e-07,logistic_vjp,2.6135519234330817,0.0,independent NumPy ordered likelihood products,3.14.6,2.5.1,93da9b549fee98aad5af977e486cd64b16507a40,25515c70397a10554b0ee70e8cde54e1a12b46e5,gfortran,-O3,
gp_ordinal_likelihood,release_app,,cpu,pass,5,3,100000,2.6e-07,logistic_hvp,0.4177256237256725,1.0134670880290741e-12,independent NumPy ordered likelihood products,3.14.6,2.5.1,93da9b549fee98aad5af977e486cd64b16507a40,25515c70397a10554b0ee70e8cde54e1a12b46e5,gfortran,-O3,
