workload,phase,backend,device,status,steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_schedule_hvp,value_gradient,fortml,cpu,pass,6,32,7.179590625e-05,validation_mse,0.0643224347135958,2.314897069692623e-08,independent NumPy warm-up/cosine affine recurrence with central-FD HVP,3.14.6,2.5.1,5e9d41964bc97e0de0aefc52aa302e86a6b762d6,806db91eefbce788ec3f03a264b8b009545aa42b,gfortran,-O3,complete-array oracle accepted
mlp_schedule_hvp,jvp,fortml,cpu,pass,6,32,7.179590625e-05,directional_validation_mse_derivative,-0.0230590343354599,2.314897069692623e-08,independent NumPy warm-up/cosine affine recurrence with central-FD HVP,3.14.6,2.5.1,5e9d41964bc97e0de0aefc52aa302e86a6b762d6,806db91eefbce788ec3f03a264b8b009545aa42b,gfortran,-O3,complete-array oracle accepted
mlp_schedule_hvp,gradient_component,fortml,cpu,pass,6,32,7.179590625e-05,gradient_parameter_1,-0.0723836072837292,2.314897069692623e-08,independent NumPy warm-up/cosine affine recurrence with central-FD HVP,3.14.6,2.5.1,5e9d41964bc97e0de0aefc52aa302e86a6b762d6,806db91eefbce788ec3f03a264b8b009545aa42b,gfortran,-O3,complete-array oracle accepted
mlp_schedule_hvp,gradient_component,fortml,cpu,pass,6,32,7.179590625e-05,gradient_parameter_2,0.0010071134810882571,2.314897069692623e-08,independent NumPy warm-up/cosine affine recurrence with central-FD HVP,3.14.6,2.5.1,5e9d41964bc97e0de0aefc52aa302e86a6b762d6,806db91eefbce788ec3f03a264b8b009545aa42b,gfortran,-O3,complete-array oracle accepted
mlp_schedule_hvp,gradient_component,fortml,cpu,pass,6,32,7.179590625e-05,gradient_parameter_3,-0.001934419097833436,2.314897069692623e-08,independent NumPy warm-up/cosine affine recurrence with central-FD HVP,3.14.6,2.5.1,5e9d41964bc97e0de0aefc52aa302e86a6b762d6,806db91eefbce788ec3f03a264b8b009545aa42b,gfortran,-O3,complete-array oracle accepted
mlp_schedule_hvp,gradient_component,fortml,cpu,pass,6,32,7.179590625e-05,gradient_parameter_4,0.0,2.314897069692623e-08,independent NumPy warm-up/cosine affine recurrence with central-FD HVP,3.14.6,2.5.1,5e9d41964bc97e0de0aefc52aa302e86a6b762d6,806db91eefbce788ec3f03a264b8b009545aa42b,gfortran,-O3,complete-array oracle accepted
mlp_schedule_hvp,hvp_component,fortml,cpu,pass,6,32,0.00047699225,hvp_parameter_1,0.001013726159392504,2.314897069692623e-08,independent NumPy warm-up/cosine affine recurrence with central-FD HVP,3.14.6,2.5.1,5e9d41964bc97e0de0aefc52aa302e86a6b762d6,806db91eefbce788ec3f03a264b8b009545aa42b,gfortran,-O3,complete-array oracle accepted
mlp_schedule_hvp,hvp_component,fortml,cpu,pass,6,32,0.00047699225,hvp_parameter_2,-7.048776019261074e-05,2.314897069692623e-08,independent NumPy warm-up/cosine affine recurrence with central-FD HVP,3.14.6,2.5.1,5e9d41964bc97e0de0aefc52aa302e86a6b762d6,806db91eefbce788ec3f03a264b8b009545aa42b,gfortran,-O3,complete-array oracle accepted
mlp_schedule_hvp,hvp_component,fortml,cpu,pass,6,32,0.00047699225,hvp_parameter_3,-0.0001971060588539971,2.314897069692623e-08,independent NumPy warm-up/cosine affine recurrence with central-FD HVP,3.14.6,2.5.1,5e9d41964bc97e0de0aefc52aa302e86a6b762d6,806db91eefbce788ec3f03a264b8b009545aa42b,gfortran,-O3,complete-array oracle accepted
mlp_schedule_hvp,hvp_component,fortml,cpu,pass,6,32,0.00047699225,hvp_parameter_4,0.0,2.314897069692623e-08,independent NumPy warm-up/cosine affine recurrence with central-FD HVP,3.14.6,2.5.1,5e9d41964bc97e0de0aefc52aa302e86a6b762d6,806db91eefbce788ec3f03a264b8b009545aa42b,gfortran,-O3,complete-array oracle accepted
mlp_schedule_hvp,hvp,fortml,cuda,unavailable,6,32,,,,,independent NumPy warm-up/cosine affine recurrence with central-FD HVP,3.14.6,2.5.1,5e9d41964bc97e0de0aefc52aa302e86a6b762d6,806db91eefbce788ec3f03a264b8b009545aa42b,gfortran,-O3,resident CUDA trajectory kernel is not linked; no host fallback
