backend,device,n_samples,n_features,dtype,relative_error,operation,calls,self_cpu_us,total_cpu_us,self_cuda_us,total_cuda_us,self_cpu_bytes,self_cuda_bytes,input_shapes
pytorch_dense,cuda,1024,8,float64,1.0653850829138242e-15,aten::unsqueeze,2,22.791999999999973,27.581999999999994,0.0,0.0,0,0,"[[1024, 8], []]"
pytorch_dense,cuda,1024,8,float64,1.0653850829138242e-15,aten::as_strided,2,4.7900000000000205,4.7900000000000205,0.0,0.0,0,0,"[[1024, 8], [], [], []]"
pytorch_dense,cuda,1024,8,float64,1.0653850829138242e-15,aten::sub,1,43.53199999999987,392.78999999999996,136.64,273.28,0,67108864,"[[1024, 1, 8], [1, 1024, 8], []]"
pytorch_dense,cuda,1024,8,float64,1.0653850829138242e-15,Activity Buffer Request,1,326.04400000000004,326.04400000000004,136.64,136.64,0,0,[]
pytorch_dense,cuda,1024,8,float64,1.0653850829138242e-15,cudaLaunchKernel,10,74.01699999999994,74.01699999999994,0.0,0.0,0,0,[]
pytorch_dense,cuda,1024,8,float64,1.0653850829138242e-15,"void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<double> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<double> const&)::{lambda(int)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<double> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<double> const&)::{lambda(int)#1})",1,0.0,0.0,136.64,136.64,0,0,[]
pytorch_dense,cuda,1024,8,float64,1.0653850829138242e-15,aten::pow,1,20.45900000000006,29.875999999999976,351.84000000000003,351.84000000000003,0,67108864,"[[1024, 1024, 8], []]"
pytorch_dense,cuda,1024,8,float64,1.0653850829138242e-15,aten::result_type,1,1.4230000000000018,1.4230000000000018,0.0,0.0,0,0,"[[1024, 1024, 8], []]"
pytorch_dense,cuda,1024,8,float64,1.0653850829138242e-15,aten::to,1,0.6609999999999445,0.6609999999999445,0.0,0.0,0,0,"[[1024, 1024, 8], [], [], [], []]"
pytorch_dense,cuda,1024,8,float64,1.0653850829138242e-15,[memory],18,0.0,0.0,0.0,0.0,0,-176185344,[]
pytorch_dense,cuda,1024,8,float64,1.0653850829138242e-15,aten::sum,1,18.585000000000036,25.928999999999974,358.65599999999995,358.65599999999995,0,8388608,"[[1024, 1024, 8], [], [], []]"
