workload,scenario,phase,backend,device,status,index,value,max_abs_error,oracle,python_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_plateau_schedule,minimize,rate,python_oracle,cpu,pass,1,0.2,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,d_base_rate,python_oracle,cpu,pass,1,1.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,d_metric,python_oracle,cpu,pass,1,0.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,d_best_metric,python_oracle,cpu,pass,1,0.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,d_min_delta,python_oracle,cpu,pass,1,0.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,d_factor,python_oracle,cpu,pass,1,0.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,next_best_metric,python_oracle,cpu,pass,1,1.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,next_bad_updates,python_oracle,cpu,pass,1,1.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,next_reductions,python_oracle,cpu,pass,1,0.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,improved,python_oracle,cpu,pass,1,0.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,reduced,python_oracle,cpu,pass,1,0.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,rate,python_oracle,cpu,pass,2,0.1,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,d_base_rate,python_oracle,cpu,pass,2,0.5,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,d_metric,python_oracle,cpu,pass,2,0.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,d_best_metric,python_oracle,cpu,pass,2,0.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,d_min_delta,python_oracle,cpu,pass,2,0.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,d_factor,python_oracle,cpu,pass,2,0.2,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,next_best_metric,python_oracle,cpu,pass,2,1.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,next_bad_updates,python_oracle,cpu,pass,2,0.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,next_reductions,python_oracle,cpu,pass,2,1.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,improved,python_oracle,cpu,pass,2,0.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,reduced,python_oracle,cpu,pass,2,1.0,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
mlp_plateau_schedule,minimize,rate,python_oracle,cpu,pass,3,0.1,0.0,independent Python plateau transition and FD factor,3.14.6,2c7fe439b6613f1bd8915d736d47fb978b9afd37,455603b8bbfe24f40c03d2b04a6f24da66542417,gfortran,-O3,active-set transition and factor FD checked; 5.305e-08s
