workload,phase,backend,device,status,n_samples,n_queries,likelihood,kernel,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
second_derivative_gp,prediction,numpy_oracle,cpu,pass,4,4,gaussian,rbf,,mean_max_abs_error,0.0,0.0,independent NumPy rbf order-four covariance and Cholesky solve,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,
second_derivative_gp,prediction,numpy_oracle,cpu,pass,4,4,gaussian,rbf,,variance_max_abs_error,0.0,0.0,independent NumPy latent variance Schur complement,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,minimum_posterior_variance=6.945790e-02
second_derivative_gp,joint_covariance,numpy_oracle,cpu,pass,4,4,gaussian,rbf,,symmetry_abs_error,0.0,0.0,independent NumPy dense latent covariance,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,posterior covariance is symmetrized
second_derivative_gp,input_products,numpy_oracle,cpu,pass,4,4,gaussian,rbf,,jvp_central_difference_max_abs_error,7.754596964559823e-11,7.754596964559823e-11,independent NumPy central difference of mixed-order predictions,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,
second_derivative_gp,input_products,numpy_oracle,cpu,pass,4,4,gaussian,rbf,,vjp_duality_abs_error,2.220446049250313e-16,2.220446049250313e-16,independent NumPy cotangent identity,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,
second_derivative_gp,public_contract_gate,fortml,cpu,pass,4,4,gaussian,rbf,2.2068115480360575,fortml_second_derivative_gp_test,1.0,7.754596964559823e-11,FortML test_second_derivative_gp behavioral gate,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,"mixed order-four covariance, JVP/VJP, and typed refusal gate"
second_derivative_gp,device_boundary,fortml,cuda,refused,4,4,gaussian,rbf,,typed_cuda_prediction_and_covariance,nan,0.0,FORTNUM_NOT_IMPLEMENTED,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,resident derivative covariance/solve is not linked
second_derivative_gp,input_boundary,fortml,cpu,refused,4,4,gaussian,rbf,,unsupported_or_coincident_fifth_derivative,nan,0.0,typed FORTNUM_NOT_IMPLEMENTED/DOMAIN_ERROR,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,Matern-5/2 fifth derivative refuses coincidence; other kernels are outside this bounded reference
second_derivative_gp,prediction,numpy_oracle,cpu,pass,4,4,gaussian,matern52,,mean_max_abs_error,0.0,0.0,independent NumPy matern52 order-four covariance and Cholesky solve,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,
second_derivative_gp,prediction,numpy_oracle,cpu,pass,4,4,gaussian,matern52,,variance_max_abs_error,0.0,0.0,independent NumPy latent variance Schur complement,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,minimum_posterior_variance=1.841711e-01
second_derivative_gp,joint_covariance,numpy_oracle,cpu,pass,4,4,gaussian,matern52,,symmetry_abs_error,0.0,0.0,independent NumPy dense latent covariance,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,posterior covariance is symmetrized
second_derivative_gp,input_products,numpy_oracle,cpu,pass,4,4,gaussian,matern52,,jvp_central_difference_max_abs_error,2.520989639265281e-09,2.520989639265281e-09,independent NumPy central difference of mixed-order predictions,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,
second_derivative_gp,input_products,numpy_oracle,cpu,pass,4,4,gaussian,matern52,,vjp_duality_abs_error,4.440892098500626e-16,4.440892098500626e-16,independent NumPy cotangent identity,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,
second_derivative_gp,public_contract_gate,fortml,cpu,pass,4,4,gaussian,matern52,2.2068115480360575,fortml_second_derivative_gp_test,1.0,2.520989639265281e-09,FortML test_second_derivative_gp behavioral gate,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,"mixed order-four covariance, JVP/VJP, and typed refusal gate"
second_derivative_gp,device_boundary,fortml,cuda,refused,4,4,gaussian,matern52,,typed_cuda_prediction_and_covariance,nan,0.0,FORTNUM_NOT_IMPLEMENTED,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,resident derivative covariance/solve is not linked
second_derivative_gp,input_boundary,fortml,cpu,refused,4,4,gaussian,matern52,,unsupported_or_coincident_fifth_derivative,nan,0.0,typed FORTNUM_NOT_IMPLEMENTED/DOMAIN_ERROR,3.14.6,2.5.1,11ab2317618994ef6b1ea24ef1de8cbd8fe104a3,6211fd08a621f2f9af30be5bf9d869bd194cc642,gfortran,-O3,Matern-5/2 fifth derivative refuses coincidence; other kernels are outside this bounded reference
