workload,phase,variant,backend,device,status,n_train,n_validation,n_parameters,steps,microbatch_size,accumulation_steps,repetitions,seconds_per_operation,metric,value,max_abs_error,oracle,python_version,numpy_version,fortml_revision,benchmark_revision,compiler,flags,notes
mlp_sgd_momentum_hypergradient,value_gradient,deterministic_accumulation,numpy_oracle,cpu,pass,5,3,3,4,2,3,16,0.00024828925234032795,validation_mse,0.009933996688378298,0.0,independent NumPy SGD momentum trajectory with central-FD products,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,"packed=[log_lr,log_l2,momentum]; v <- momentum*v + gradient; h=2e-6"
mlp_sgd_momentum_hypergradient,gradient_component,deterministic_accumulation,numpy_oracle,cpu,pass,5,3,3,4,2,3,16,,gradient_1,-0.04655777610012082,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,all three packed components checked
mlp_sgd_momentum_hypergradient,gradient_component,deterministic_accumulation,numpy_oracle,cpu,pass,5,3,3,4,2,3,16,,gradient_2,0.0020329916816837212,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,all three packed components checked
mlp_sgd_momentum_hypergradient,gradient_component,deterministic_accumulation,numpy_oracle,cpu,pass,5,3,3,4,2,3,16,,gradient_3,-0.06541324362122763,0.0,independent central finite-difference outer objective,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,all three packed components checked
mlp_sgd_momentum_hypergradient,jvp,deterministic_accumulation,numpy_oracle,cpu,pass,5,3,3,4,2,3,16,,directional_validation_mse_derivative,-0.026102069755184337,0.0,independent central finite-difference directional product,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,"direction=[0.31, -0.27, 0.17]; h=2e-06"
mlp_sgd_momentum_hypergradient,hvp_component,affine_one_layer_accumulation,numpy_oracle,cpu,pass,5,3,3,4,2,3,16,,hvp_1,0.06381492014505274,0.0,independent central finite-difference of trajectory gradient,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,"direction=[0.31, -0.27, 0.17]; inner h=2e-06; outer h=0.0002"
mlp_sgd_momentum_hypergradient,hvp_component,affine_one_layer_accumulation,numpy_oracle,cpu,pass,5,3,3,4,2,3,16,,hvp_2,-0.0021906326579113067,0.0,independent central finite-difference of trajectory gradient,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,"direction=[0.31, -0.27, 0.17]; inner h=2e-06; outer h=0.0002"
mlp_sgd_momentum_hypergradient,hvp_component,affine_one_layer_accumulation,numpy_oracle,cpu,pass,5,3,3,4,2,3,16,,hvp_3,0.06678640388120549,0.0,independent central finite-difference of trajectory gradient,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,"direction=[0.31, -0.27, 0.17]; inner h=2e-06; outer h=0.0002"
mlp_sgd_momentum_hypergradient,value_gradient,deterministic_accumulation,fortml,cpu,pass,5,3,3,4,2,3,16,8.2693375e-05,validation_mse,0.009933996688378298,1.7867003911532092e-08,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,fortml_bench_sgd_momentum_hypergradient; three gradients and JVP checked
mlp_sgd_momentum_hypergradient,gradient_component,deterministic_accumulation,fortml,cpu,pass,5,3,3,4,2,3,16,,gradient_1,-0.04655777610089119,7.703698789995883e-13,independent NumPy trajectory and central-FD products,3.14.6,2.5.1,0e147b4ac2416c5bd99459c962c11253b84f7101,ed64fe8e17e789c64ed7f5ae450986e48c96b990,gfortran,-O3,fortml_bench_sgd_momentum_hypergradient
